
==========
== CUDA ==
==========

CUDA Version 12.8.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.

BUILD OK
finalize manifest verified: 32 buckets, weights_sha256=5690023b45bd9ca36a65344a2eac3ca3a77e6c6ebe868faf6c3d47f81f9b2c27
loaded finalize shared constants: 637 entries
  finalize bucket drop=0 T=34 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=35 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=36 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=37 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=38 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=39 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=40 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=41 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=42 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=43 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=44 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=45 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=46 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=47 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=48 constants=637 direct=637 alias=0
  finalize bucket drop=0 T=49 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=43 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=44 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=45 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=46 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=47 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=48 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=49 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=50 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=51 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=52 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=53 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=54 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=55 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=56 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=57 constants=637 direct=637 alias=0
  finalize bucket drop=2 T=58 constants=637 direct=637 alias=0
=== SESSION single-stream replay: 200 utterances ===
  utt0 sample=0 steady_chunks=21 final(drop=2,T=49) steady=PASS final=PASS FORK_ASSERT=PASS tokens=20/20
  utt1 sample=1 steady_chunks=19 final(drop=2,T=57) steady=PASS final=PASS FORK_ASSERT=PASS tokens=11/11
  utt2 sample=2 steady_chunks=80 final(drop=2,T=45) steady=PASS final=PASS FORK_ASSERT=PASS tokens=74/74
  utt3 sample=3 steady_chunks=99 final(drop=2,T=58) steady=PASS final=PASS FORK_ASSERT=PASS tokens=78/78
  utt4 sample=4 steady_chunks=65 final(drop=2,T=58) steady=PASS final=PASS FORK_ASSERT=PASS tokens=47/47
  utt5 sample=5 steady_chunks=14 final(drop=2,T=46) steady=PASS final=PASS FORK_ASSERT=PASS tokens=4/4
  utt6 sample=6 steady_chunks=45 final(drop=2,T=57) steady=PASS final=PASS FORK_ASSERT=PASS tokens=25/25
  utt7 sample=7 steady_chunks=74 final(drop=2,T=56) steady=PASS final=PASS FORK_ASSERT=PASS tokens=59/59
  utt8 sample=8 steady_chunks=55 final(drop=2,T=46) steady=PASS final=PASS FORK_ASSERT=PASS tokens=55/55
  utt9 sample=9 steady_chunks=67 final(drop=2,T=44) steady=PASS final=PASS FORK_ASSERT=PASS tokens=66/66
  utt10 sample=10 steady_chunks=26 final(drop=2,T=48) steady=PASS final=PASS FORK_ASSERT=PASS tokens=18/18
  utt11 sample=11 steady_chunks=64 final(drop=2,T=44) steady=PASS final=PASS FORK_ASSERT=PASS tokens=67/67
  utt12 sample=12 steady_chunks=51 final(drop=2,T=57) steady=PASS final=PASS FORK_ASSERT=PASS tokens=35/35
  utt13 sample=13 steady_chunks=76 final(drop=2,T=56) steady=PASS final=PASS FORK_ASSERT=PASS tokens=66/66
  utt14 sample=14 steady_chunks=65 final(drop=2,T=47) steady=PASS final=PASS FORK_ASSERT=PASS tokens=51/51
  utt15 sample=15 steady_chunks=57 final(drop=2,T=55) steady=PASS final=PASS FORK_ASSERT=PASS tokens=62/62
  utt16 sample=16 steady_chunks=88 final(drop=2,T=43) steady=PASS final=PASS FORK_ASSERT=PASS tokens=74/74
  utt17 sample=17 steady_chunks=25 final(drop=2,T=47) steady=PASS final=PASS FORK_ASSERT=PASS tokens=30/30
  utt18 sample=18 steady_chunks=74 final(drop=2,T=53) steady=PASS final=PASS FORK_ASSERT=PASS tokens=62/62
  utt19 sample=19 steady_chunks=99 final(drop=2,T=44) steady=PASS final=PASS FORK_ASSERT=PASS tokens=75/75
  utt20 sample=20 steady_chunks=95 final(drop=2,T=51) steady=PASS final=PASS FORK_ASSERT=PASS tokens=70/70
