utt,sample_id,token_match,event_match,steady_token_match,final_token_len,event_len
0,6744343e-ef8c-3154-50a2-5ad464c723bc,True,True,True,20,10
1,0a2570b5-668a-ea08-0546-1db4e518482f,True,True,True,11,8
2,e02b3cc7-0a8d-83d6-85a4-1f3240b18e47,True,True,True,74,38
3,739f778d-e8e2-be4f-3fe6-015adcac4682,True,True,True,78,39
4,e820357c-d0b5-11dd-6085-7c8a73e9d335,True,True,True,47,26
5,ab216e4a-b927-b6c1-393c-2abf4f2bd5b5,True,True,True,4,3
6,b980f45a-7289-f63f-0923-2fe102deb8c2,True,True,True,25,15
7,03fdf223-366c-280d-ac70-3be5555afb6a,True,True,True,59,35
8,d1756da4-a19b-ed98-915b-ddefe9eb6ab0,True,True,True,55,29
9,bcdf094b-6bc3-e5eb-e041-01a8de913e32,True,True,True,66,36
10,f1069e64-44c8-9fd5-d54e-f03567582f63,True,True,True,18,11
11,c2cbcd7e-2ffa-3b46-f088-204d8898e2c5,True,True,True,67,36
12,89975396-e899-57de-9534-d71d04867968,True,True,True,35,20
13,b7cfd836-2867-09f5-77e1-264b76b4452b,True,True,True,66,39
14,b3882761-3cab-d5b2-30e0-5588aa172d90,True,True,True,51,28
15,989bf9c5-b087-994b-3b65-ff2dd43a5b00,True,True,True,62,31
16,9eba9131-2cf8-873d-9dc3-207ad8276555,True,True,True,74,44
17,b35e06ae-28f5-8498-8d1e-244dc02d1671,True,True,True,30,17
18,84ec1ac6-fe87-1b5d-63f1-c3ddf79fe444,True,True,True,62,38
19,9ee9d60f-f794-36f2-cc7b-53bfb396ef1d,True,True,True,75,45
20,b2bcbc48-b1ae-339e-2285-0ffdf5189ef1,True,True,True,70,41
21,b5a2b5af-7691-56b7-24ee-30eff4527439,True,True,True,19,11
22,356d3518-21f9-a281-9ed9-fa950f81d8fc,True,True,True,24,11
23,8facde28-4202-7470-0814-fa34f0ca84a5,True,True,True,24,14
24,4484a2a0-a854-cd3f-74ef-75c7231b39b8,True,True,True,62,32
25,fbe7161c-ac49-4909-1608-3a32179341f3,True,True,True,27,17
26,152f8aa9-5d91-31c0-60ca-0d6c68261e13,True,True,True,64,32
27,937c1bf8-4857-71dc-c05f-dfe0a21b65ca,True,True,True,37,22
28,9c6b0b65-af07-75c7-e6de-757bd7dbf775,True,True,True,63,35
29,00491bfc-a029-ee29-4523-f34805aadffa,True,True,True,73,41
30,ca46319c-e790-a8f6-4793-7ab542a6d95d,True,True,True,22,12
31,930905b6-467c-3098-c100-7d08467961ea,True,True,True,55,33
32,cf7edb90-0103-9853-b160-b81f7fc90fc0,True,True,True,68,36
33,b5659356-af58-8088-4790-edeb85fd3295,True,True,True,59,33
34,60590679-1bb1-0cd7-32a9-c3f21c7b5d05,True,True,True,76,39
35,7ee2a3d0-efec-f5b8-95b7-0ae338ae836e,True,True,True,57,35
36,4b4d7013-00b1-742e-299a-1b22dab617ee,True,True,True,56,28
37,d2c8f37f-bd28-ab2b-9410-2bb395a83beb,True,True,True,70,41
38,381eb51f-21fb-8b09-ef66-a8937b11d74d,True,True,True,63,32
39,fa27c85b-1af0-ee7b-53eb-bd4400090f4d,True,True,True,68,37
40,75eb8a99-8eef-d824-2020-c77a9296c82a,True,True,True,26,12
41,da66feba-9052-77a3-3334-8cc99533b59a,True,True,True,16,11
42,58fac144-68f5-2aec-75f2-39337afa1447,True,True,True,73,41
43,d74099f5-f4ea-bbdc-e351-fcf28c6f36b2,True,True,True,45,24
44,11106a5e-866c-8715-4dc7-a66377614523,True,True,True,3,1
45,7da21afd-7e50-50d8-1b15-2a77863725b5,True,True,True,25,12
46,aac8759a-3cdf-8839-335d-5a185768e6c4,True,True,True,67,35
47,778871eb-de6e-3f41-8f5b-c3827d11733b,True,True,True,11,7
48,47ab8b1c-9dc9-88b1-153e-f33553a906ec,True,True,True,52,31
49,c1d2b848-0f79-52cb-d917-367ae9fed45c,True,True,True,72,40
50,a020da8a-0e80-3e7e-b386-89e12341af75,True,True,True,17,11
51,986b5956-3f3c-433f-6504-aa534cff161e,True,True,True,56,33
52,759e278d-2d5f-dd75-9738-ec0555bbcfb1,True,True,True,58,33
53,e6cf18ae-d491-e98a-1f3e-7c6032b3d83e,True,True,True,67,35
54,4b7a080d-1731-4a93-e876-2f7c242877b8,True,True,True,60,34
55,0c5e8fd6-3c3e-c97e-74c9-a90743d923e8,True,True,True,64,37
56,f5ced402-3d40-8a78-7fa7-6fa51724046d,True,True,True,71,39
57,3b32a135-8f1d-e811-c441-de5e5026617b,True,True,True,67,36
58,2393dc9d-a670-9868-1e24-96bbde760eba,True,True,True,15,8
59,80644538-fa3c-4f76-3f90-eff8ce0695d2,True,True,True,28,18
60,669963c2-85d0-d997-6988-b1d0ea46b047,True,True,True,70,37
61,ea7cd5dd-7c2d-8e30-9bb4-348f4a199080,True,True,True,67,35
62,9e911f0d-f574-2970-3da1-7560a381d08f,True,True,True,69,36
63,ddcfaf85-f15a-1908-3660-c43260ecc5aa,True,True,True,60,34
64,934c2ffb-d39d-2163-5fd3-4348360314ef,True,True,True,26,15
65,02ac751f-65cf-aa0e-1797-3f240fab9759,True,True,True,24,13
66,a934808b-1458-4655-5c9c-26655716a079,True,True,True,63,33
67,b54462d5-7706-c236-2e93-aa16724e2e42,True,True,True,59,31
68,2be830d1-be85-9f11-0d40-8fda864601b7,True,True,True,68,38
69,0baa9ab9-ce29-b095-2b86-c1f58b690f3f,True,True,True,53,31
70,7f066b80-3a59-0bed-6465-f85935582dc5,True,True,True,64,33
71,dfd167bb-59c2-9b9d-4c2a-e9a61c3e714e,True,True,True,68,38
72,6044817a-551d-1807-5640-cfc546485173,True,True,True,23,12
73,0bd493e0-8299-eb3d-4cf0-205059107f16,True,True,True,53,33
74,ea91b37f-c2c8-ed28-1176-a3075410d132,True,True,True,65,33
75,4919946c-1e72-1af5-a14e-8b378cfe7890,True,True,True,69,39
76,9565dd38-8116-54a7-e667-144c1a09d504,True,True,True,21,13
77,60cda6b7-778b-7520-118c-19f025fe0e4f,True,True,True,24,19
78,c8d3ce08-5144-73cb-763e-3b101d35e44a,True,True,True,69,35
79,08b33890-e5b9-bcd4-00e1-0b3d7a120e5b,True,True,True,68,37
80,9f9802d6-6ddd-9fa3-c20f-acb9aa73a4d3,True,True,True,15,7
81,c84503ca-110a-51d6-0b24-f17deb7a2882,True,True,True,6,2
82,3081b275-4fa3-f9d4-0ca3-55f598a37fca,True,True,True,63,34
83,9b06f5a5-7f21-f4c0-7f0b-1d48e902ffc0,True,True,True,77,41
84,95c52928-0ca8-f732-e0f6-76ca2a96af35,True,True,True,23,10
85,fe677dbc-8e62-b679-7ef8-831298e24c18,True,True,True,36,16
86,71bf9886-c1e8-e2ce-0e14-5fb6a41946e6,True,True,True,11,5
87,ee1a7549-fe4b-b5bf-77dc-9da75130e33c,True,True,True,54,31
88,b134b8e1-b79b-0b14-e56c-95592bdb0361,True,True,True,68,36
89,5a3c6e2a-efdb-7d02-ae93-9e3ba0f7c1f6,True,True,True,85,43
90,32705937-195d-2eb0-fe22-856dc8558b23,True,True,True,56,32
91,0ff9664b-2d12-7d3d-eb35-10a4b57061ee,True,True,True,45,21
92,209eda2a-35fa-868a-1ac6-d74fa208bbcf,True,True,True,18,12
93,ccd031a0-b2a7-8693-c226-00105fbb37d2,True,True,True,61,34
94,052ba5bd-48a3-2c25-883d-e2f25a953d7e,True,True,True,19,12
95,ba91eab8-3074-c881-a627-2cf56038d65e,True,True,True,62,37
96,0d29fa0a-ab6d-a422-9ea4-f7e956b66a60,True,True,True,53,33
97,f2df60f7-c3ae-3603-910b-1092bd05aed5,True,True,True,20,13
98,bdbbe0e2-ba12-e935-1215-8f805cfa4ee1,True,True,True,73,41
99,06c41bf6-3d0e-be8a-37da-e8e76c13a25c,True,True,True,16,12
100,e3a41888-6f6a-dcf9-0412-c657d37ef138,True,True,True,52,26
101,025285c0-0d34-46c9-6daa-840f886a5b68,True,True,True,58,36
102,b6dcaa00-4a1e-ff53-4c0c-91430460a814,True,True,True,52,32
103,16992ab7-d3de-da82-e1c6-6acd3f2113eb,True,True,True,66,35
104,83752699-736a-ab2e-0af0-8ded03223611,True,True,True,57,29
105,21098700-a9c0-4138-87b6-ff2bf01ec2c4,True,True,True,72,36
106,729fa0bd-6bc7-a58f-2e60-1f09ea4b0f1b,True,True,True,11,8
107,0cec89f8-8c5d-a03e-6723-6d365c494959,True,True,True,65,38
108,6eddb46f-8a2c-a718-4579-c2653f970ff3,True,True,True,78,42
109,6418e6b7-ab95-52cb-848b-716470adc5e7,True,True,True,57,32
110,edf93d6c-8799-172e-58c0-d5ced6ed3412,True,True,True,24,11
111,b7863097-75a1-aa9e-a840-25164339c7e8,True,True,True,76,43
112,706acfee-ae24-2978-080c-c0ff65e38a3b,True,True,True,55,31
113,13b96bda-c9b7-3734-c0e3-f4d125c71b32,True,True,True,51,29
114,0291f1e4-b8a9-64a3-8d36-12547fe72ff4,True,True,True,75,40
115,fdca9673-c132-9eb5-d1cf-5fc1cae2be30,True,True,True,61,36
116,50e0a1a7-9476-8db4-ec84-3e0b6aaadcb9,True,True,True,49,26
117,0497be83-c92a-6798-d53b-542b4c4d323d,True,True,True,74,46
118,dcfccffe-a592-af40-6a3e-f88c65b0c837,True,True,True,47,25
119,c43432b2-2b4b-1edc-503a-76f3db51baca,True,True,True,31,13
120,331e2f1b-ad0e-7907-85e3-945338858c29,True,True,True,67,40
121,b6f8c5f7-1fe0-9fdc-b6e7-22a3eb1aa6e6,True,True,True,7,4
