# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     83     58      0      0      0      0 
    0     91     57      0      0      0      0 
    0     85     49      0      0      0      0 
    0     91     56      0      0      0      0 
    0     90     55      0      0      0      0 
    0     86     50      0      0      0      0 
    0     92     62      0      0      0      0 
    0     78     45      0      0      0      0 
    0     77     44      0      0      0      0 
    0     88     55      0      0      0      0 
    0     82     53      0      0      0      0 
    0     87     61      0      0      0      0 
    0     85     53      0      0      0      0 
    0     89     52      0      0      0      0 
    0     81     51      0      0      0      0 
    0     90     57      0      0      0      0 
    0     91     59      0      0      0      0 
    0     77     48      0      0      0      0 
    0     93     63      0      0      0      0 
    0     87     55      0      0      0      0 
    0     81     52      0      0      0      0 
    0     91     64      0      0      0      0 
    0     77     43      0      0      0      0 
    0     91     60      0      0      0      0 
    0     76     43      0      0      0      0 
    0     88     56      0      0      0      0 
    0     87     52      0      0      0      0 
    0     94     60      0      0      0      0 
    0     93     54      0      0      0      0 
    0     79     49      0      0      0      0 
    0     82     48      0      0      0      0 
    0     92     53      0      0      0      0 
    0     92     63      0      0      0      0 
    0     91     67      0      0      0      0 
    0     83     47      0      0      0      0 
    0     79     45      0      0      0      0 
    0     85     53      0      0      0      0 
    0     90     54      0      0      0      0 
    0     87     61      0      0      0      0 
    0     93     62      0      0      0      0 
    0     84     48      0      0      0      0 
    0     89     55      0      0      0      0 
    0     90     61      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     88     53      0      0      0      0 
    0     86     54      0      0      0      0 
    0     76     44      0      0      0      0 
    0     84     57      0      0      0      0 
    0     84     52      0      0      0      0 
    0     75     48      0      0      0      0 
    0     63     39      0      0      0      0 
    0     66     47      0      0      0      0 
    0     58     42      0      0      0      0 
