# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     81     57      0      0      0      0 
    0     93     56      0      0      0      0 
    0     87     51      0      0      0      0 
    0     79     45      0      0      0      0 
    0     88     58      0      0      0      0 
    0     90     55      0      0      0      0 
    0     90     55      0      0      0      0 
    0     83     48      0      0      0      0 
    0     91     53      0      0      0      0 
    0     90     57      0      0      0      0 
    0     91     60      0      0      0      0 
    0     93     59      0      0      0      0 
    0     91     61      0      0      0      0 
    0     83     53      0      0      0      0 
    0     92     59      0      0      0      0 
    0     87     53      0      0      0      0 
    0     84     52      0      0      0      0 
    0     92     56      0      0      0      0 
    0     76     46      0      0      0      0 
    0     81     51      0      0      0      0 
    0     92     59      0      0      0      0 
    0     93     65      0      0      0      0 
    0     78     44      0      0      0      0 
    0     89     55      0      0      0      0 
    0     80     46      0      0      0      0 
    0     91     58      0      0      0      0 
    0     88     55      0      0      0      0 
    0     85     52      0      0      0      0 
    0     88     54      0      0      0      0 
    0     87     55      0      0      0      0 
    0     90     51      0      0      0      0 
    0     91     61      0      0      0      0 
    0     89     63      0      0      0      0 
    0     93     69      0      0      0      0 
    0     78     44      0      0      0      0 
    0     79     44      0      0      0      0 
    0     82     47      0      0      0      0 
    0     90     51      0      0      0      0 
    0     89     67      0      0      0      0 
    0     86     55      0      0      0      0 
    0     78     47      0      0      0      0 
    0     89     53      0      0      0      0 
    0     77     44      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     78     47      0      0      0      0 
    0     80     45      0      0      0      0 
    0     81     51      0      0      0      0 
    0     76     45      0      0      0      0 
    0     62     37      0      0      0      0 
    0     61     36      0      0      0      0 
    0     58     34      0      0      0      0 
    0     69     48      0      0      0      0 
    0     61     39      0      0      0      0 
