# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     81     58      0      0      0      0 
    0     92     64      0      0      0      0 
    0     91     53      0      0      0      0 
    0     92     58      0      0      0      0 
    0     92     54      0      0      0      0 
    0     92     56      0      0      0      0 
    0     92     53      0      0      0      0 
    0     91     53      0      0      0      0 
    0     92     56      0      0      0      0 
    0     92     54      0      0      0      0 
    0     91     56      0      0      0      0 
    0     91     62      0      0      0      0 
    0     91     57      0      0      0      0 
    0     93     65      0      0      0      0 
    0     92     63      0      0      0      0 
    0     93     58      0      0      0      0 
    0     92     62      0      0      0      0 
    0     92     63      0      0      0      0 
    0     93     54      0      0      0      0 
    0     92     61      0      0      0      0 
    0     90     57      0      0      0      0 
    0     92     53      0      0      0      0 
    0     89     62      0      0      0      0 
    0     92     72      0      0      0      0 
    0     93     68      0      0      0      0 
    0     90     53      0      0      0      0 
    0     92     61      0      0      0      0 
    0     92     57      0      0      0      0 
    0     91     55      0      0      0      0 
    0     92     54      0      0      0      0 
    0     91     55      0      0      0      0 
    0     92     62      0      0      0      0 
    0     93     67      0      0      0      0 
    0     94     58      0      0      0      0 
    0     92     53      0      0      0      0 
    0     90     52      0      0      0      0 
    0     93     54      0      0      0      0 
    0     93     61      0      0      0      0 
    0     90     57      0      0      0      0 
    0     92     53      0      0      0      0 
    0     92     55      0      0      0      0 
    0     94     65      0      0      0      0 
    0     93     53      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     92     53      0      0      0      0 
    0     92     60      0      0      0      0 
    0     92     53      0      0      0      0 
    0     92     57      0      0      0      0 
    0     92     57      0      0      0      0 
    0     79     49      0      0      0      0 
    0     66     41      0      0      0      0 
    0     66     40      0      0      0      0 
    0     56     35      0      0      0      0 
