# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0      0      0      0      0      0      0 
    0     16     10      0      0      0      0 
    0     16      9      0      0      0      0 
    0     44     28      0      0      0      0 
    0     38     24      0      0      0      0 
    0     23     14      0      0      0      0 
    0     21     14      0      0      0      0 
    0     49     31      0      0      0      0 
    0     40     25      0      0      0      0 
    0     23     14      0      0      0      0 
    0     21     14      0      0      0      0 
    0     50     33      0      0      0      0 
    0     32     22      0      0      0      0 
    0     27     17      0      0      0      0 
    0     39     25      0      0      0      0 
    0     28     18      0      0      0      0 
    0     38     25      0      0      0      0 
    0     21     14      0      0      0      0 
    0     26     17      0      0      0      0 
    0     26     17      0      0      0      0 
    0     28     18      0      0      0      0 
    0     21     14      0      0      0      0 
