# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0      0      0      0      0      0      0 
    0     82     58      0      0      0      0 
    0     93     63      0      0      0      0 
    0     90     53      0      0      0      0 
    0     91     57      0      0      0      0 
    0     92     60      0      0      0      0 
    0     92     56      0      0      0      0 
    0     93     53      0      0      0      0 
    0     93     61      0      0      0      0 
    0     94     63      0      0      0      0 
    0     90     56      0      0      0      0 
    0     92     53      0      0      0      0 
    0     92     53      0      0      0      0 
    0     92     52      0      0      0      0 
    0     91     57      0      0      0      0 
    0     92     53      0      0      0      0 
    0     90     52      0      0      0      0 
    0     92     59      0      0      0      0 
    0     92     52      0      0      0      0 
    0     91     55      0      0      0      0 
    0     91     56      0      0      0      0 
    0     93     58      0      0      0      0 
    0     93     61      0      0      0      0 
    0     92     53      0      0      0      0 
    0     94     68      0      0      0      0 
    0     92     62      0      0      0      0 
    0     93     64      0      0      0      0 
    0     93     53      0      0      0      0 
    0     89     55      0      0      0      0 
    0     92     59      0      0      0      0 
    0     91     55      0      0      0      0 
    0     91     53      0      0      0      0 
    0     90     56      0      0      0      0 
    0     93     76      0      0      0      0 
    0     88     50      0      0      0      0 
    0     94     63      0      0      0      0 
    0     90     52      0      0      0      0 
    0     91     56      0      0      0      0 
    0     93     61      0      0      0      0 
    0     90     55      0      0      0      0 
    0     92     58      0      0      0      0 
    0     92     65      0      0      0      0 
    0     91     60      0      0      0      0 
    0     90     51      0      0      0      0 
# gpu     sm    mem    enc    dec    jpg    ofa 
# Idx      %      %      %      %      %      % 
    0     91     65      0      0      0      0 
    0     93     58      0      0      0      0 
    0     92     53      0      0      0      0 
    0     91     54      0      0      0      0 
    0     92     57      0      0      0      0 
    0     93     67      0      0      0      0 
    0     93     54      0      0      0      0 
    0     92     66      0      0      0      0 
    0     93     58      0      0      0      0 
